id,Model,Year,Vehicle_Age,Nightly Price,Amenity Count,Has Bathroom,Has Generator,Instant Book,sleeps,length,review_score,City,State,lat,lng
1617128,Airstream RV Interstate Lounge EXT Lounge EXT,2016,9,357.0,2,1,1,False,4,24.0,100.0,Phoenix,AZ,33.6,-112.05
1742285,Grech RV Strada-ion Tour,2024,1,319.0,1,1,0,False,2,24.0,0.0,Chandler,AZ,33.29,-111.95
1646861,Midwest Automotive Designs Daycruiser 144 Plan B,2022,3,345.0,1,1,0,False,2,20.0,100.0,Chandler,AZ,33.31,-111.87
1755668,Pleasure-Way Tofino Std. Model,2021,4,150.0,3,1,1,True,4,17.0,100.0,Gilbert,AZ,33.37,-111.76
1747340,Winnebago Solis 59PX,2025,0,335.0,1,0,1,False,4,21.0,100.0,Phoenix,AZ,33.4,-112.0
1739870,Winnebago Solis 59PX,2025,0,335.0,1,0,1,False,4,21.0,0.0,Phoenix,AZ,33.4,-112.0
1739877,Winnebago Solis 59PX,2025,0,335.0,1,0,1,False,4,21.0,0.0,Phoenix,AZ,33.4,-112.0
1640060,Thor Motor Coach Scope 18M,2022,3,149.0,2,1,1,False,2,18.0,100.0,Tempe,AZ,33.37,-111.9
1626842,Winnebago Solis 59P,2023,2,197.0,2,1,1,False,4,20.0,86.667,Gilbert,AZ,33.36,-111.76
1655621,Leisure Travel Serenity 24CB,2019,6,223.0,2,1,1,False,4,24.0,0.0,Scottsdale,AZ,33.72,-111.9
1743566,Ultimate Toys Mercedes-Benz Ultimate Coach,2026,-1,350.0,0,0,0,False,2,24.0,0.0,Mesa,AZ,33.38,-111.71
1592671,Mercedes Benz Spinter 2500,2011,14,221.0,1,1,0,False,2,20.0,0.0,Mesa,AZ,33.44,-111.71
1739995,OGV Luxury Coach V-RV 2TB,2025,0,350.0,1,1,0,False,2,24.0,0.0,San Tan Valley,AZ,33.26,-111.55
1561528,Winnebago Revel 44E,2020,5,350.0,3,1,1,True,3,19.0,0.0,Sedona,AZ,34.79,-111.76
1736136,Winnebago Solis 59PX,2025,0,199.0,3,1,1,True,4,21.0,0.0,Springdale,AR,36.2,-94.13
1747432,Thor Motor Coach Sanctuary 19P,2023,2,225.0,2,1,1,False,2,19.0,0.0,Hot Springs,AR,34.45,-93.04
1758705,Winnebago Solis 59P,2025,0,265.0,2,1,1,False,4,21.0,0.0,Maumelle,AR,34.9,-92.42
1722545,Storyteller Overland Storyteller Overland Stealth MODE 4x4,2022,3,299.0,2,1,1,False,2,20.0,0.0,Little Rock,AR,34.78,-92.35
1676570,Mercedez Sprint Sprint,2022,3,199.0,2,1,1,False,2,19.5,100.0,Fort Smith,AR,35.28,-94.43
1654611,Winnebago ultra lite 28BDHS,2016,9,150.0,0,0,0,False,5,31.0,0.0,Broken Bow,OK,34.3,-94.81
1739481,Winnebago Solis 59P,2021,4,220.0,2,0,1,True,5,19.0,100.0,Alameda,CA,37.75,-122.23
1589944,Ford Transit Custom,2019,6,187.0,1,0,1,False,5,22.0,100.0,Livermore,CA,37.67,-121.77
1752907,chevy Chevy Express,1998,27,80.0,0,0,0,False,2,18.0,100.0,Santa Clara,CA,37.36,-121.95
1638915,Airstream RV Interstate Nineteen Std. Model,2021,4,329.0,1,0,1,False,3,19.0,100.0,Pleasanton,CA,37.67,-121.9
1738261,Entegra Coach Launch 19Y,2023,2,250.0,1,1,0,False,3,19.0,0.0,Danville,CA,37.8,-121.89
1710042,Roadtrek Roadtrek Zion,2019,6,195.0,2,1,1,False,3,20.0,100.0,Alameda,CA,37.73,-122.23
1558131,Mercedes Benz Metris Getaway,2020,5,199.0,1,0,1,False,4,17.0,100.0,Danville,CA,37.82,-121.99
1648167,Winnebago Solis 59P,2022,3,190.0,1,1,0,False,4,20.0,100.0,San Jose,CA,37.31,-121.77
1217444,Unknown Maybach 32M,2006,19,139.0,2,1,1,False,2,17.5,100.0,Walnut Creek,CA,37.9,-122.0
1616669,Unknown Maybach 32M,2006,19,153.0,2,1,1,False,2,17.0,60.0,Walnut Creek,CA,37.9,-122.0
1756359,Dodge Ram Promaster 2500,2018,7,237.0,3,1,1,True,4,20.0,0.0,Hayward,CA,37.64,-122.08
1698234,Ford Hi5 Campervan,2022,3,189.0,1,1,0,False,4,20.0,0.0,Hayward,CA,37.65,-122.13
1637549,Winnebago Travato 59G,2020,5,229.0,2,1,1,False,3,21.0,100.0,Newark,CA,37.53,-122.0
1743699,Airstream RV Interstate 24GL Std. Model,2022,3,212.0,2,0,1,True,2,24.0,100.0,Lathrop,CA,37.82,-121.31
1543910,winnebago solis 59p,2022,3,234.0,1,1,0,False,4,20.0,100.0,Cupertino,CA,37.32,-122.02
1473797,Winnebago Revel 44E,2021,4,330.0,1,1,0,False,3,19.0,100.0,Danville,CA,37.82,-121.99
1461082,American Coach American Heritage 45A,2015,10,229.0,1,0,1,False,5,45.0,0.0,San Ramon,CA,37.76,-121.97
1606095,mercedes benz sprinter Sprinter 2500,2021,4,199.0,1,1,0,False,3,20.0,100.0,Castro Valley,CA,37.71,-122.1
1221998,Chevrolet KUGA Campervan,2013,12,60.0,1,1,0,False,3,19.0,90.0,Hayward,CA,37.65,-122.13
1573988,Chevrolet Kuga Campervan,2013,12,60.0,1,1,0,False,3,19.0,0.0,Hayward,CA,37.65,-122.13
1631108,Thor Motor Coach Scope 18T,2022,3,209.0,2,0,1,True,4,18.0,90.0,San Jose,CA,37.32,-121.84
1574039,Winnebago Revel 44E,2021,4,275.0,2,1,1,False,2,19.0,100.0,Hercules,CA,38.01,-122.29
1698227,Ford Hi5 Campervan,2022,3,189.0,1,1,0,False,4,20.0,0.0,Hayward,CA,37.65,-122.13
1698230,Ford Hi5 Campervan,2022,3,189.0,1,1,0,False,4,20.0,0.0,Hayward,CA,37.65,-122.13
1700060,Winnebago Solis 59PX,2023,2,225.0,2,1,1,False,4,21.0,100.0,Sunnyvale,CA,37.36,-122.04
1580200,Hymer Hymer Aktiv 2.0 w/ loft,2019,6,249.0,2,1,1,False,4,21.0,100.0,San Jose,CA,37.32,-121.93
