id,headline,make_model,year,type,price_nightly,sleeps,length,fresh_water_tank,electric_service,generator_included,lat,lng,state,city,review_score,review_count,is_instant_book,search_county,has_bathroom,has_generator
1679318,Active Pop Top Select | San Francisco | Un. Miles,Active Pop Top Select,2022,Class B Camping Van,1000.0,4,21.0,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1585309,Active Pop Top | San Francisco | Unlimited Miles,Active Pop Top,2021,Class B Camping Van,1000.0,4,19.9,,,0,37.6,-122.03,CA,Union City,60.0,1,True,Alameda County,0,0
1746609,Adventure Truck Select | San Francisco | Unl Miles,Adventure Truck Select,2025,Class B Camping Van,1000.0,2,17.9,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1585319,Active Pop Top | San Francisco | Unlimited Miles,Active Pop Top,2021,Class B Camping Van,1000.0,4,19.9,,,0,37.6,-122.03,CA,Union City,60.0,2,True,Alameda County,0,0
1679322,Active Pop Top | San Francisco | Unlimited Miles,Active Pop Top,2023,Class B Camping Van,1000.0,4,19.9,20.0,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,1,0
1698234,UNLIMITED MILES INCLUDED (San Francisco),Ford Hi5 Campervan,2022,Class B Camping Van,189.0,4,20.0,12.0,30.0,0,37.65,-122.13,CA,Hayward,0.0,0,False,Alameda County,1,0
1581286,Adventure Tent | San Francisco | Unlimited Miles,Adventure Tent 4x4,2021,Class B Camping Van,1000.0,2,15.7,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1581287,Adventure Tent | San Francisco | Unlimited Miles,Adventure Tent 4x4,2021,Class B Camping Van,1000.0,2,15.7,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1581288,Adventure Tent | San Francisco | Unlimited Miles,Adventure Tent 4x4,2021,Class B Camping Van,1000.0,2,15.7,2.0,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1584994,California Standard | San Francisco | Unl. Miles,California Standard RV,2022,Class B Camping Van,1000.0,4,16.73,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1584995,California Standard | San Francisco | Unl. Miles,California Standard RV,2022,Class B Camping Van,1000.0,4,16.73,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1585322,Active Pop Top | San Francisco | Unlimited Miles,Active Pop Top,2022,Class B Camping Van,1000.0,4,19.9,20.0,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,1,0
1746610,Adventure Truck Select | San Francisco | Unl Miles,Adventure Truck Select,2025,Class B Camping Van,1000.0,2,17.9,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1746614,Adventure Tent Select | San Francisco | Un. Miles,Adventure Tent Select,2025,Class B Camping Van,1000.0,2,16.8,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1746675,Adventure Tent Select | San Francisco | Un. Miles,Adventure Tent Select,2025,Class B Camping Van,1000.0,2,16.8,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1746677,Adventure Tent Select | San Francisco | Un. Miles,Adventure Tent Select,2025,Class B Camping Van,1000.0,2,16.8,,,0,37.6,-122.03,CA,Union City,0.0,0,True,Alameda County,0,0
1637549,"Winnebago Travato Camper Van, Sleep 4, Easy drive",Winnebago Travato 59G,2020,Class B Camping Van,229.0,3,21.0,21.0,30.0,3,37.53,-122.0,CA,Newark,100.0,3,False,Alameda County,1,1
1743699,,Airstream RV Interstate 24GL Std. Model,2022,Class B Camping Van,212.0,2,24.0,,30.0,4,37.82,-121.31,CA,Lathrop,100.0,4,True,Alameda County,0,1
1543910,Class B Solis 59P: Nimble Class B Freedom,winnebago solis 59p,2022,Class B Camping Van,234.0,4,20.0,21.0,,0,37.32,-122.02,CA,Cupertino,100.0,10,False,Alameda County,1,0
1473797,"""Odin"" - Ultimate Off-Road Adventure Companion",Winnebago Revel 44E,2021,Class B Camping Van,330.0,3,19.0,21.0,30.0,0,37.82,-121.99,CA,Danville,100.0,3,False,Alameda County,1,0
1461082,2015 Mercedes Benz Sprinter CamperVan,American Coach American Heritage 45A,2015,Class B Camping Van,229.0,5,45.0,,,4,37.76,-121.97,CA,San Ramon,0.0,0,False,Alameda County,0,1
1606095,2021 Mercedes Benz Sprinter 2500,mercedes benz sprinter Sprinter 2500,2021,Class B Camping Van,199.0,3,20.0,20.0,,0,37.71,-122.1,CA,Castro Valley,100.0,5,False,Alameda County,1,0
1584985,California Standard | San Francisco | Unl. Miles,California Standard RV,2022,Class B Camping Van,1000.0,4,16.73,,,0,37.6,-122.03,CA,Union City,20.0,1,True,Alameda County,0,0
1221998,UNLIMITED MILEAGE INCLUDED! (San Francisco),Chevrolet KUGA Campervan,2013,Class B Camping Van,60.0,3,19.0,14.0,30.0,0,37.65,-122.13,CA,Hayward,90.0,6,False,Alameda County,1,0
1573988,UNLIMITED MILEAGE INCLUDED! (San Francisco),Chevrolet Kuga Campervan,2013,Class B Camping Van,60.0,3,19.0,14.0,30.0,0,37.65,-122.13,CA,Hayward,0.0,0,False,Alameda County,1,0
1631108,Super Easy To Drive 2022 Thor Rize 18A,Thor Motor Coach Scope 18T,2022,Class B Camping Van,209.0,4,18.0,,,4,37.32,-121.84,CA,San Jose,90.0,10,True,Alameda County,0,1
1574039,Wanna Getta Away Mobile  -2021 Winnebago Revel,Winnebago Revel 44E,2021,Class B Camping Van,275.0,2,19.0,21.0,30.0,24,38.01,-122.29,CA,Hercules,100.0,19,False,Alameda County,1,1
1698227,UNLIMITED MILES INCLUDED (San Francisco),Ford Hi5 Campervan,2022,Class B Camping Van,189.0,4,20.0,12.0,30.0,0,37.65,-122.13,CA,Hayward,0.0,0,False,Alameda County,1,0
1698230,UNLIMITED MILES INCLUDED (San Francisco),Ford Hi5 Campervan,2022,Class B Camping Van,189.0,4,20.0,12.0,30.0,0,37.65,-122.13,CA,Hayward,0.0,0,False,Alameda County,1,0
1700060,2023 Winnebago Solis 59PX - Family van (Sleeps 4),Winnebago Solis 59PX,2023,Class B Camping Van,225.0,4,21.0,20.0,30.0,24,37.36,-122.04,CA,Sunnyvale,100.0,4,False,Alameda County,1,1
